epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,528.461,1.22219,1.35409,1.63152,0.69781,0.68817,0.7374,0.39609,1.38512,1.75331,2.00305,0.000325397,0.000325397,0.0677857
2,1067.69,1.17611,1.20979,1.61002,0.77181,0.65591,0.74009,0.37712,1.57878,2.98434,2.40431,0.000658569,0.000658569,0.0347856
3,1608.66,1.15328,1.05147,1.55596,0.56214,0.69355,0.61334,0.3348,1.40444,2.64877,2.06339,0.000991094,0.000991094,0.00178475
4,2140.26,1.16899,1.09229,1.60168,0.63383,0.62366,0.65678,0.3899,1.27155,2.15032,1.81673,0.000997803,0.000997803,0.000997803
5,2640.09,1.19651,1.08963,1.60621,0.22921,0.57527,0.19814,0.10553,1.3593,5.361,1.95899,0.000996097,0.000996097,0.000996097
6,3171.25,1.16107,1.07698,1.59266,0.70638,0.68817,0.72147,0.44449,1.33285,1.37587,1.90155,0.000993906,0.000993906,0.000993906
7,3653.04,1.14602,1.01227,1.56404,0.8482,0.77957,0.84952,0.52691,1.24486,1.03743,1.77719,0.000991232,0.000991232,0.000991232
8,4125.21,1.09863,0.965,1.5479,0.73246,0.77957,0.81967,0.50465,1.33217,1.03551,1.87572,0.000988079,0.000988079,0.000988079
9,4596.48,1.10654,0.97746,1.5592,0.78611,0.77957,0.85309,0.55374,1.18131,1.09559,1.65846,0.000984449,0.000984449,0.000984449
10,5067.39,1.10627,1.01349,1.54389,0.83819,0.77419,0.83869,0.54387,1.23613,0.98806,1.75625,0.000980345,0.000980345,0.000980345
11,5538.95,1.0611,0.95015,1.51219,0.85102,0.73656,0.84824,0.51593,1.35708,1.06932,1.85298,0.000975773,0.000975773,0.000975773
12,6009.94,1.04767,0.89828,1.49711,0.8007,0.73442,0.82131,0.53368,1.20682,0.9811,1.69313,0.000970736,0.000970736,0.000970736
13,6489.71,1.07151,0.90678,1.50959,0.84359,0.72495,0.83744,0.52332,1.26666,1.01323,1.75544,0.000965239,0.000965239,0.000965239
14,7017.49,1.03031,0.90666,1.48483,0.88747,0.78495,0.89137,0.55557,1.2819,0.88565,1.81306,0.000959289,0.000959289,0.000959289
15,7487.93,1.04571,0.87708,1.47706,0.85715,0.74199,0.82606,0.56431,1.18373,0.95725,1.66943,0.000952889,0.000952889,0.000952889
16,7958.32,1.00488,0.84968,1.45654,0.85731,0.77525,0.87131,0.61346,1.07872,0.88013,1.60792,0.000946048,0.000946048,0.000946048
17,8429.45,1.01455,0.85505,1.4759,0.77646,0.80301,0.86547,0.60445,1.10748,0.89026,1.60254,0.000938772,0.000938772,0.000938772
18,8901.29,0.99828,0.82519,1.45696,0.82501,0.83649,0.88891,0.62806,1.06218,0.80482,1.50368,0.000931067,0.000931067,0.000931067
19,9371.98,0.98557,0.80813,1.43848,0.84581,0.79032,0.86931,0.56899,1.0768,1.10289,1.59125,0.000922942,0.000922942,0.000922942
20,9841.38,0.98816,0.80491,1.44736,0.87035,0.80108,0.89879,0.63766,0.99771,0.86152,1.46196,0.000914405,0.000914405,0.000914405
21,10310.9,0.97417,0.82699,1.42525,0.78241,0.81195,0.85652,0.62538,0.96028,0.88086,1.42431,0.000905463,0.000905463,0.000905463
22,10780.6,0.96512,0.79803,1.40597,0.86792,0.74194,0.81872,0.59865,1.02961,0.91511,1.50601,0.000896127,0.000896127,0.000896127
23,11252.1,0.94306,0.77872,1.42438,0.92132,0.75547,0.89712,0.66207,0.91735,0.77128,1.4016,0.000886404,0.000886404,0.000886404
24,11723.4,0.95755,0.79025,1.43497,0.87074,0.83871,0.90638,0.65248,0.95121,0.75072,1.4306,0.000876305,0.000876305,0.000876305
25,12192.5,0.91004,0.7339,1.37831,0.87947,0.75806,0.86681,0.6461,0.95386,0.80513,1.42409,0.000865839,0.000865839,0.000865839
