epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.906,0.90468,1.64448,1.39431,0.66204,0.67204,0.69725,0.40739,1.19256,2.04963,1.87179,0.000662675,0.000662675,0.000662675
2,376.277,1.03636,1.46956,1.52239,0.77673,0.61828,0.70094,0.43326,1.05276,1.77572,1.72015,0.00126354,0.00126354,0.00126354
3,558.469,1.02651,1.34717,1.50649,0.68441,0.68817,0.75778,0.471,1.11764,1.59203,1.66832,0.0017984,0.0017984,0.0017984
4,740.523,0.99405,1.20943,1.46966,0.88256,0.60753,0.75623,0.47636,1.18208,1.32574,1.87577,0.001703,0.001703,0.001703
5,922.514,0.98535,1.15448,1.45839,0.79592,0.56615,0.7364,0.39788,1.34112,1.55967,2.14443,0.001604,0.001604,0.001604
6,1104.29,0.97054,1.13879,1.45133,0.75334,0.6828,0.77491,0.53123,1.07414,1.1703,1.65227,0.001505,0.001505,0.001505
7,1286.2,0.88892,1.00023,1.39169,0.85525,0.69885,0.81084,0.5668,0.97676,1.10348,1.54682,0.001406,0.001406,0.001406
8,1468.44,0.8735,0.93888,1.34883,0.82142,0.71715,0.81246,0.57946,0.93497,0.97187,1.47318,0.001307,0.001307,0.001307
9,1650.58,0.85624,0.93983,1.36213,0.80247,0.7043,0.80612,0.60955,0.80284,1.02324,1.366,0.001208,0.001208,0.001208
10,1832.55,0.85684,0.91332,1.35706,0.84051,0.79333,0.87763,0.64884,0.80609,0.84571,1.36843,0.001109,0.001109,0.001109
11,2013.49,0.69136,0.90989,1.3051,0.88541,0.79032,0.86893,0.6614,0.81223,0.88004,1.3306,0.00101,0.00101,0.00101
12,2195.74,0.6605,0.84883,1.29172,0.91635,0.72581,0.87142,0.67315,0.74063,0.76738,1.30224,0.000911,0.000911,0.000911
13,2376.72,0.62384,0.77764,1.2441,0.86259,0.81183,0.88924,0.6679,0.77168,0.74248,1.32968,0.000812,0.000812,0.000812
14,2557.6,0.58444,0.68331,1.19874,0.84526,0.7957,0.89689,0.67772,0.73833,0.75982,1.29069,0.000713,0.000713,0.000713
15,2738.58,0.55363,0.64003,1.17906,0.86257,0.8436,0.90652,0.70569,0.69588,0.66892,1.2459,0.000614,0.000614,0.000614
16,2919.47,0.5337,0.62351,1.16434,0.90774,0.79343,0.90122,0.68204,0.72626,0.69828,1.26713,0.000515,0.000515,0.000515
17,3100.74,0.50998,0.57647,1.13229,0.89321,0.80645,0.90069,0.70645,0.67938,0.67909,1.22474,0.000416,0.000416,0.000416
18,3281.78,0.4896,0.54508,1.12325,0.91488,0.80904,0.91216,0.70236,0.67357,0.62267,1.20928,0.000317,0.000317,0.000317
19,3462.59,0.47462,0.52251,1.10693,0.90142,0.84409,0.91561,0.73021,0.64742,0.5883,1.19637,0.000218,0.000218,0.000218
20,3643.31,0.43291,0.4684,1.06633,0.89739,0.84635,0.92537,0.74393,0.62333,0.58911,1.17634,0.000119,0.000119,0.000119
