epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.224,0.72143,0.70808,1.26271,0.83558,0.79032,0.88725,0.67764,0.73628,0.7403,1.26745,0.000662675,0.000662675,0.000662675
2,403.887,0.81835,0.81345,1.34671,0.88495,0.78495,0.89394,0.65447,0.88888,0.74954,1.4133,0.00131618,0.00131618,0.00131618
3,596.997,0.80841,0.81083,1.33308,0.82327,0.8265,0.8734,0.64699,0.81514,0.80521,1.37717,0.00195649,0.00195649,0.00195649
4,790.747,0.81535,0.79629,1.32972,0.85204,0.73656,0.82298,0.59645,0.88597,0.88405,1.42487,0.0019406,0.0019406,0.0019406
5,981.987,0.85816,0.85469,1.35552,0.7858,0.71002,0.79552,0.54215,1.00305,1.03185,1.54112,0.0019208,0.0019208,0.0019208
6,1166.37,0.84068,0.85175,1.3467,0.85721,0.71505,0.83871,0.64089,0.84333,0.88763,1.42158,0.001901,0.001901,0.001901
7,1356.54,0.81606,0.8031,1.32799,0.90925,0.7043,0.85377,0.63032,0.8487,0.83091,1.39423,0.0018812,0.0018812,0.0018812
8,1541.42,0.78258,0.78078,1.28973,0.81431,0.77807,0.85866,0.6234,0.89458,0.86524,1.44871,0.0018614,0.0018614,0.0018614
9,1725.62,0.81853,0.7993,1.3378,0.80707,0.75806,0.83304,0.61293,0.87996,0.82951,1.48078,0.0018416,0.0018416,0.0018416
10,1915.1,0.82988,0.80972,1.33995,0.85264,0.74661,0.8726,0.63823,0.85307,0.7943,1.39122,0.0018218,0.0018218,0.0018218
11,2103.19,0.80962,0.7892,1.31721,0.85103,0.82796,0.89138,0.65304,0.84716,0.73045,1.39982,0.001802,0.001802,0.001802
12,2286.88,0.78016,0.74646,1.30308,0.76491,0.82216,0.84744,0.6335,0.80494,0.78486,1.34925,0.0017822,0.0017822,0.0017822
13,2470.9,0.78774,0.77256,1.3075,0.83628,0.75806,0.82677,0.63002,0.80123,0.79208,1.34623,0.0017624,0.0017624,0.0017624
14,2654.7,0.78635,0.74895,1.29682,0.84335,0.84946,0.90583,0.67998,0.79942,0.66024,1.34646,0.0017426,0.0017426,0.0017426
15,2838.65,0.78842,0.74,1.29714,0.85576,0.82932,0.90228,0.69772,0.76339,0.63598,1.29857,0.0017228,0.0017228,0.0017228
16,3022.18,0.76069,0.70671,1.27622,0.84786,0.8172,0.88403,0.68122,0.78462,0.71306,1.32474,0.001703,0.001703,0.001703
17,3205.76,0.78266,0.74012,1.28251,0.81572,0.73778,0.81111,0.62781,0.77077,0.82952,1.32293,0.0016832,0.0016832,0.0016832
18,3389.41,0.75494,0.71823,1.27436,0.80272,0.83131,0.88049,0.67462,0.75832,0.67146,1.30131,0.0016634,0.0016634,0.0016634
19,3572.85,0.78431,0.70485,1.29639,0.85346,0.82796,0.90773,0.70096,0.75323,0.67759,1.31399,0.0016436,0.0016436,0.0016436
20,3756.24,0.73956,0.66579,1.26823,0.91455,0.77419,0.88355,0.67508,0.77165,0.75443,1.30213,0.0016238,0.0016238,0.0016238
21,3938.48,0.73695,0.68254,1.26572,0.84208,0.86003,0.9156,0.7072,0.73077,0.6105,1.26503,0.001604,0.001604,0.001604
22,4121.17,0.74158,0.68858,1.2641,0.83928,0.76882,0.85669,0.63559,0.81016,0.76187,1.36899,0.0015842,0.0015842,0.0015842
23,4303.01,0.72956,0.65746,1.23594,0.8829,0.75269,0.87879,0.66065,0.77876,0.67733,1.30146,0.0015644,0.0015644,0.0015644
24,4485.45,0.71431,0.62541,1.25289,0.84822,0.82796,0.9159,0.6792,0.77185,0.632,1.29706,0.0015446,0.0015446,0.0015446
25,4667.58,0.69927,0.65058,1.24127,0.883,0.82796,0.90994,0.69907,0.72062,0.63022,1.26849,0.0015248,0.0015248,0.0015248
26,4849.69,0.72875,0.65402,1.26132,0.93111,0.77419,0.88609,0.69154,0.73162,0.62764,1.2693,0.001505,0.001505,0.001505
27,5032.36,0.73003,0.65885,1.24704,0.8174,0.87634,0.92129,0.69811,0.71253,0.62071,1.26798,0.0014852,0.0014852,0.0014852
28,5216.09,0.70144,0.63106,1.23451,0.84663,0.83333,0.90458,0.71314,0.69437,0.61094,1.24868,0.0014654,0.0014654,0.0014654
29,5399.76,0.70503,0.62548,1.23605,0.90158,0.83725,0.91281,0.70127,0.74167,0.61025,1.26192,0.0014456,0.0014456,0.0014456
30,5583.26,0.68874,0.61757,1.21512,0.96143,0.80108,0.90981,0.71637,0.71184,0.63684,1.26563,0.0014258,0.0014258,0.0014258
31,5767.17,0.70298,0.61983,1.22006,0.86728,0.86022,0.92364,0.73506,0.68664,0.60778,1.21851,0.001406,0.001406,0.001406
32,5949.6,0.69747,0.61616,1.23594,0.86135,0.80645,0.90146,0.70496,0.72974,0.63357,1.2695,0.0013862,0.0013862,0.0013862
33,6133.11,0.69238,0.60931,1.22386,0.89833,0.80755,0.90887,0.70533,0.748,0.58207,1.27542,0.0013664,0.0013664,0.0013664
34,6355.39,0.68917,0.58563,1.20697,0.87458,0.84946,0.91865,0.71766,0.71956,0.60323,1.25481,0.0013466,0.0013466,0.0013466
35,6556.8,0.6649,0.56323,1.20509,0.85735,0.87245,0.92376,0.72511,0.69223,0.52672,1.23635,0.0013268,0.0013268,0.0013268
36,6790.82,0.68387,0.57363,1.20279,0.89652,0.82796,0.90206,0.71371,0.70163,0.57697,1.24789,0.001307,0.001307,0.001307
37,6993.96,0.68386,0.59236,1.21946,0.87131,0.8172,0.9084,0.70787,0.71146,0.5647,1.25547,0.0012872,0.0012872,0.0012872
38,7191.43,0.6552,0.5578,1.20086,0.91971,0.86222,0.92198,0.73522,0.67313,0.548,1.21847,0.0012674,0.0012674,0.0012674
39,7395.3,0.63782,0.54875,1.19273,0.89694,0.84227,0.91823,0.72012,0.68824,0.54404,1.23242,0.0012476,0.0012476,0.0012476
40,7590.4,0.66357,0.57409,1.19124,0.91441,0.87097,0.92262,0.72383,0.70347,0.55152,1.24601,0.0012278,0.0012278,0.0012278
41,7825.81,0.65133,0.53913,1.20868,0.91065,0.87671,0.93029,0.75353,0.6567,0.52565,1.19573,0.001208,0.001208,0.001208
42,8021.28,0.66426,0.56962,1.20653,0.89642,0.89785,0.94163,0.74667,0.65933,0.51009,1.18474,0.0011882,0.0011882,0.0011882
43,8230.43,0.64732,0.55784,1.19806,0.87166,0.87097,0.92685,0.74086,0.6343,0.5031,1.17346,0.0011684,0.0011684,0.0011684
44,8428.83,0.63398,0.53068,1.16913,0.88578,0.85484,0.92511,0.72792,0.70882,0.59722,1.25099,0.0011486,0.0011486,0.0011486
